STATE_FDID,STATE,FDID,DEPT_NAME,DEPT_TYPE,TOTAL_INCIDENTS,FIRE_INCIDENTS,STRUCTURE_FIRES,EMS_INCIDENTS,RESPONSE_TIME_AVG,CONTAINMENT_RATE,PROP_LOSS_ADJ,PROP_LOSS_USD,TOTAL_FF,FF_PER_1000_INC,STATIONS,STA_PER_1000,CAREER_PCT,CIV_CAS_PER_1000,FF_INJ_PER_1000,DATA_QUALITY,PEER_GROUP,RESP_NP,CONT_NP,PL_NP,FF1000_NP,RESP_PP,CONT_PP,PL_PP,FF1000_PP
AK-28420,AK,28420,Bayside FD,Volunteer,30,16,13,0,9.625,85.7143,13.4667,101000.0,21,700.0,,,4.7619,0.0,0.0,100,XS,89.644,86.8583,67.7964,79.6652,90.1671,86.391,69.5507,78.9532
AK-27100,AK,27100,Bethel FD,Volunteer,34,25,15,0,12.3636,38.4615,100.0,450000.0,26,764.7059,1,29.4118,34.6154,40.0,0.0,100,XS,76.1457,44.5055,8.061,81.6766,77.4755,45.9335,8.6229,81.0305
AK-25300,AK,25300,Butte FD,Combo,58,29,16,0,27.8393,33.3333,100.0,102500.0,60,1034.4828,2,34.4828,,0.0,0.0,100,XS,12.4527,39.1038,8.061,87.8851,12.8818,40.5231,8.6229,87.4598
AK-11100,AK,11100,Capital City FireRescue,Volunteer,191,75,42,0,16.221,51.7241,23.2127,1325700.0,103,539.267,5,26.178,50.4854,40.0,0.0,100,XS,55.2392,64.1717,57.3589,73.8759,56.7608,65.3123,59.3282,72.9861
AK-25135,AK,25135,Caswell FD,Combo,14,9,6,0,42.7857,50.0,63.4375,101500.0,0,0.0,,,,0.0,0.0,100,XS,0.4394,57.9685,30.3538,20.1551,0.4553,59.0658,32.1506,19.9532
AK-26320,AK,26320,Central Emergency Services,Volunteer,292,61,40,0,18.5813,56.6667,18.6512,993100.0,45,154.1096,,,33.3333,49.1803,16.3934,100,XS,43.604,66.7285,61.8282,50.4137,44.9452,67.5511,63.7633,49.721
AK-25150,AK,25150,Central MatSu FD,Career,463,262,112,0,24.7281,38.8889,20.5335,2711350.0,268,578.8337,,,100.0,22.9008,3.8168,100,XS,20.0278,44.7307,59.8974,75.3783,20.6859,46.1374,61.902,74.5307
AK-31900,AK,31900,Chena Goldstream FireRescue,Volunteer,67,46,17,0,21.5538,33.3333,,257884.0,36,537.3134,4,59.7015,25.0,130.4348,21.7391,100,XS,30.8565,39.1038,,73.7833,31.8732,40.5231,,72.8902
AK-23150,AK,23150,Chugiak Volunteer Fire and Rescue Co Inc,Volunteer,95,45,19,0,18.8152,58.3333,32.7243,197000.0,50,526.3158,,,0.0,0.0,0.0,100,XS,42.5362,68.4407,48.9738,73.2499,43.8386,69.1162,51.0106,72.3378
AK-31100,AK,31100,City of Fairbanks FD,Career,237,158,76,0,12.0901,48.2759,3.1047,1493413.0,30,126.5823,2,8.4388,100.0,12.6582,31.6456,100,XS,77.5806,51.9143,85.6063,48.3451,78.8818,52.9056,86.1858,47.7817
AK-26100,AK,26100,City of Kenai FD,Career,109,37,23,0,12.6476,60.0,,142000.0,5,45.8716,1,9.1743,100.0,27.027,0.0,100,XS,74.6162,70.004,,43.2716,75.9712,70.5673,,42.9111
AK-36100,AK,36100,City of Kotzebue FD,Volunteer,15,13,11,0,9.2,14.2857,,390200.0,25,1666.6667,1,66.6667,40.0,230.7692,0.0,100,XS,91.2875,24.6506,,95.3457,91.6744,25.7014,,95.1801
AK-26400,AK,26400,City of Seward FD,Volunteer,19,10,2,0,12.1333,50.0,2.5,150000.0,33,1736.8421,1,52.6316,9.0909,0.0,0.0,100,XS,77.3943,57.9685,87.2941,95.7512,78.6888,59.0658,87.7127,95.6001
AK-19705,AK,19705,Craig Emergency Services,Volunteer,10,9,4,0,13.3333,50.0,,231000.0,14,1400.0,1,100.0,14.2857,0.0,0.0,100,XS,70.9733,57.9685,,93.0022,72.3689,59.0658,,92.7589
AK-29100,AK,29100,Dillingham VFD Rescue Squad,Volunteer,12,11,10,0,19.8333,75.0,32.3171,132500.0,18,1500.0,3,250.0,11.1111,0.0,0.0,100,XS,37.8031,82.3309,49.2304,93.9358,39.0029,81.9894,51.2578,93.7201
AK-31350,AK,31350,Ester VFD,Volunteer,34,25,14,0,14.3939,40.0,,245000.0,35,1029.4118,1,29.4118,5.8824,40.0,0.0,100,XS,65.3281,45.9893,,87.8198,66.8703,47.4088,,87.3922
AK-25101,AK,25101,Greater Palmer FSA,Combo,105,51,21,0,19.0882,40.0,89.6694,1217800.0,0,0.0,,,,0.0,19.6078,100,XS,41.3014,45.9893,19.7543,20.1551,42.5764,47.4088,21.0121,19.9532
AK-12100,AK,12100,Haines VFD,Volunteer,20,14,7,0,15.9,50.0,,900.0,29,1450.0,1,50.0,6.8966,0.0,0.0,100,XS,56.9828,57.9685,,93.4349,58.5159,59.0658,,93.2014
AK-26500,AK,26500,Homer VFD,Volunteer,50,24,11,0,16.3265,16.6667,21.9201,170100.0,65,1300.0,,,0.0,0.0,0.0,100,XS,54.7608,25.6839,58.5741,91.7937,56.2824,26.7724,60.5497,91.5074
AK-25400,AK,25400,Houston FD,Volunteer,53,31,25,0,24.6604,40.0,31.8735,478150.0,20,377.3585,,,0.0,32.2581,0.0,100,XS,20.2336,45.9893,49.6219,65.5471,20.8991,47.4088,51.6213,64.4287
AK-26541,AK,26541,Kachemak Emergency Services,Combo,31,18,8,0,31.5667,20.0,,601500.0,0,0.0,,,,0.0,0.0,100,XS,6.941,27.5121,,20.1551,7.1873,28.6657,,19.9532
AK-13000,AK,13000,Ketchikan FD,Career,61,31,18,0,6.2833,55.5556,31.7558,988400.0,44,721.3115,3,49.1803,75.8621,0.0,32.2581,100,XS,98.4705,66.1489,49.7029,80.4137,98.438,67.0191,51.7086,79.7283
AK-26200,AK,26200,Nikiski FD,Volunteer,75,22,15,0,10.8873,10.0,97.5129,588100.0,48,640.0,,,39.5833,0.0,0.0,100,XS,83.8654,23.3623,17.1753,77.7354,84.83,24.3643,18.351,76.9604
AK-37100,AK,37100,Nome VFD,Volunteer,24,18,11,0,9.125,57.1429,,414500.0,35,1458.3333,2,83.3333,5.7143,0.0,0.0,100,XS,91.5239,67.4505,,93.5193,91.879,68.2248,,93.2888
AK-31500,AK,31500,North Pole VFD,Career,50,44,28,0,10.62,50.0,,5000.0,27,540.0,1,20.0,55.5556,22.7273,0.0,100,XS,85.1724,57.9685,,73.9031,86.0231,59.0658,,73.0143
AK-35100,AK,35100,North Slope Borough FD,Career,31,17,9,0,9.3333,33.3333,3.8767,10002.0,78,2516.129,9,290.3226,69.2308,0.0,0.0,100,XS,90.8092,39.1038,83.6079,98.7153,91.2363,40.5231,84.3973,98.6696
AK-31600,AK,31600,North Star Fire Service Area,Career,131,85,35,0,14.6641,45.8333,27.7936,1207834.0,1,7.6336,5,38.1679,100.0,11.7647,0.0,100,XS,63.743,50.8777,53.1326,40.5008,65.268,52.0661,55.0385,40.0868
AK-25100,AK,25100,Palmer Fire Rescue,Career,96,63,30,0,19.2,60.0,11.1714,187925.0,45,468.75,6,62.5,100.0,0.0,0.0,100,XS,40.7508,70.004,71.091,70.5553,42.0115,70.5673,72.6916,69.5755
AK-15000,AK,15000,Petersburg VFD,Volunteer,17,10,6,0,8.2353,33.3333,,1275000.0,41,2411.7647,2,117.6471,7.6923,0.0,0.0,100,XS,94.6051,39.1038,,98.4594,94.6744,40.5231,,98.4046
AK-31050,AK,31050,Salcha Fire and Rescue,Volunteer,20,13,4,0,37.6,50.0,,515000.0,16,800.0,2,100.0,0.0,153.8462,0.0,100,XS,2.2442,57.9685,,82.6347,2.3256,59.0658,,82.0227
AK-14000,AK,14000,Sitka FD,Volunteer,42,29,11,0,12.775,25.0,100.0,850000.0,32,761.9048,1,23.8095,25.0,0.0,0.0,100,XS,74.0211,31.132,8.061,81.6086,75.389,32.3936,8.6229,80.96
AK-12200,AK,12200,Skagway VFD,Volunteer,18,12,7,0,12.5,75.0,,1490000.0,38,2111.1111,1,55.5556,10.5263,0.0,0.0,100,XS,75.4839,82.3309,,97.5885,76.8213,81.9894,,97.5027
AK-31700,AK,31700,Steese Area VFD,Volunteer,93,56,36,0,18.0989,33.3333,15.5241,600233.0,38,408.6022,3,32.2581,23.6842,17.8571,0.0,100,XS,45.8732,39.1038,65.3794,67.4524,47.2392,40.5231,67.2386,66.3848
AK-23200,AK,23200,Ted Stevens Anch Intl Airport Police Fire,Career,22,5,2,0,6.381,50.0,,0.0,61,2772.7273,,,100.0,0.0,0.0,100,XS,98.3176,57.9685,,99.0147,98.2853,59.0658,,98.9796
AK-33401,AK,33401,Tok VFD,Volunteer,10,9,7,0,12.8,20.0,38.5281,445000.0,13,1300.0,1,100.0,0.0,0.0,0.0,100,XS,73.9127,27.5121,44.6665,91.7937,75.2767,28.6657,46.7064,91.5074
AK-31300,AK,31300,University of Alaska FD,Volunteer,146,113,67,0,11.986,47.0588,1.3118,1084624.0,42,287.6712,,,16.6667,17.6991,17.6991,100,XS,78.1758,51.5102,91.2368,60.1279,79.4524,52.5843,91.348,59.0028
AK-24100,AK,24100,Valdez FD,Volunteer,29,19,12,0,13.7931,50.0,0.0666,10000.0,30,1034.4828,3,103.4483,43.3333,263.1579,0.0,100,XS,68.5539,57.9685,97.232,87.8851,69.9712,59.0658,97.0627,87.4598
AK-25911,AK,25911,West Lakes FD,Combo,260,163,82,0,27.4563,23.6842,41.1853,2205450.0,0,0.0,,,,42.9448,0.0,100,XS,13.2703,29.3336,42.7896,20.1551,13.7233,30.5279,44.8597,19.9532
AK-26510,AK,26510,Western Emergency Services,Volunteer,55,45,26,0,26.4727,31.5789,,1653400.0,30,545.4545,,,0.0,0.0,0.0,100,XS,15.4839,35.719,,74.1644,16.0,37.0647,,73.2849
AK-25600,AK,25600,Willow FD,Combo,36,24,15,0,40.3429,50.0,0.6304,10000.0,40,1111.1111,,,,0.0,0.0,100,XS,1.1958,57.9685,94.2479,89.2624,1.2392,59.0658,94.169,88.8861
AL-122,AL,122,Adamsville Fire Rescue,Combo,132,69,31,0,12.5537,40.0,44.042,110105.0,0,0.0,,,,0.0,0.0,100,XS,75.2169,45.9893,41.1558,20.1551,76.5591,47.4088,43.1438,19.9532
AL-6703,AL,6703,Addison VFD,Combo,16,15,4,0,16.4,50.0,,0.0,0,0.0,,,,0.0,0.0,100,XS,54.3743,57.9685,,20.1551,55.8818,59.0658,,19.9532
AL-5804,AL,5804,Alabaster Fire Rescue,Career,200,106,24,0,11.6276,53.8462,47.7074,613740.0,65,325.0,3,15.0,100.0,0.0,9.434,100,XS,80.0334,65.0924,38.8739,62.4769,81.2219,66.1035,40.8608,61.3225
